,MainAnimation,TXMN ID,TXMN Blurb,TXMN Element,TXMN Category,TXMN Family,Tags,TXMN Accuracy,TXMN Potency,TXMN Power,TXMN Recharge,TXMN Healing Power,TXMN Is fast,TXMN Effects,TXMN User Condition,TXMN Target Condition,TXMN Animation Target
Shadow Blast,,193,"The user releases a blast of negative energy, sucking life from other beings.",Shadow,Ranged,Powerful,GhostDarkness,95%,100%,2.8,4,0.2,Very Fast,,,,1
Fire Shield,,167,"The user surrounds itself with a protective wall of fire, while also burning the opponent.",Fire,Special,Exotic,SoldierShielded,100%,100%,,2,,Normal,,Elemental Shield,Burn,1
Lava,,134,"The user erupts with molten lava, burning both itself and the opponent.",Fire,Ranged,Powerful,Calamity,80%,100%,2.9,2,,Very Slow,Areas,Burn,Burn,1
Boulder,,11,The user shelters beneath a rocky shell.,Earth,Special,Condition imposer,RockShieldedBug,100%,100%,,2,,Normal,,Hard Shell,,0
Petrify,,37,The user emits a powerful aura that renders the opponent stuck.,Earth,Special,Condition imposer,Rock,100%,100%,,2,,Very Fast,,,Stuck,1
Blade,,7,A lightning-fast cut.,Metal,Melee,Simple,SharpSteel,85%,,1.25,1,,Extremely Fast,,,,1
Energy Claws,,31,"The user's claws glow with energy as it delivers a powerful, focused attack.",Lightning,Melee,Exotic,Claws,80%,100%,2.25,3,,Normal,,Sniping,,3
Fire Claw,,3,The user's claws ignite with fire as it delivers a burning attack.,Fire,Reach,Simple,FlameClaws,75%,20%,1.75,2,,Normal,,,Burn,3
Ants,,131,"The user summons a swarm of ants that crawl over the opponent, changing their type to Earth.",Earth,Special,Exotic,ShapeshifterBug,100%,100%,,4,,Normal,Switch Earth Target,,,1
Cavity,,118,"The user strikes with pinpoint accuracy, targeting the opponent's weak points.",Normal,Reliable,Reserved,Reserved,70%,,2.9,3,,Normal,,,,1
Hawk,,111,The user soars high into the air before diving down with a powerful attack.,Sky,Touch,Special,Bird,100%,100%,1.5,1,,Normal,Appear,,,1
Perfect Cut,,61,"The user strikes with surgical precision, leaving no room for error.",Metal,Reliable,Simple,Sharp,80%,,2,2,,Normal,,,,1
Strike,,74,"The user delivers a powerful, focused blow.",Normal,Reliable,Animal,Fists,100%,,1.25,1,,Normal,,,,1
Geyser,,91,"The user erupts with a powerful water spout, changing the opponent's type to Water.",Water,Special,Exotic,Shapeshifter,100%,100%,,4,,Normal,Switch Water Target,,,1
Rust Bomb,,86,"A corrosive projectile that explodes on impact, dealing damage and poisoning the opponent.",Metal,Ranged,Simple,BomberSteel,60%,50%,2.25,2,,Normal,Splash,,Poisoned,3
Fluff Up,,71,"The user's body puffs up, healing its wounds.",Normal,Special,Condition imposer,Shielded,100%,100%,,3,,Normal,,Recovering,,0
Take Cover,,29,"The user assumes a defensive stance, increasing its accuracy.",Normal,Special,Condition imposer,LeadershipShieldedBug,100%,100%,,1,,Normal,,Sniping,,0
Infectious Bite,,218,A sharp fast bite that injects a festering toxin. May leave the target with a lingering injury.,VenomWood,Touch,Simple,Bite,95%,30%,1,2,,Fast,,,Festering,1
Overgrowth,,27,"Vines lash the target, locking them in place.",Wood,Ranged,Simple,PlantSummoner,80%,100%,2.25,2,,Very Slow,,,Grabbed,1
Pseudopod,,68,"The user extends a pseudopod to deliver a forceful, sticky blow.",Venom,Reach,Simple,Pseudopod,100%,70,1.25,1,,Normal,,,Festering,1
Splinter,,41,"The user launches a barrage of wooden splinters, blinding and damaging the opponent.",Wood,Reach,Simple,PlantBomber,80%,20%,1.25,1,,Normal,,,Blinded,1
Web,,42,"A sticky web is shot at the opponent, trapping them and inflicting damage.",Venom,Melee,Simple,Bug,80%,100%,1.25,2,,Normal,,,Grabbed,1
Cloud Aether,,126,"The user is enveloped in a swirling cloud, causing both it and the opponent to change types randomly.",Cosmic,Special,Exotic,WeatherShapeshifter,100%,100%,,4,,Normal,Switch Random User & Target,,,1
Mystic Blending,,139,"The user becomes one with its surroundings, healing itself.",Cosmic,Special,Exotic,HealingMental,100%,100%,,4,3,Normal,Healing user,Recovering,Focused,1
Gold Digger,,99,"The user digs into the ground, finding treasure or attacking itself.",Normal,Special,Exotic,Gemstone,60%,100%,1,1,,Very Slow,Money,,,1
All In,,54,"The user draws on their last ounce of strength, striking hard and getting their second wind.",Heroic,Touch,Powerful,LeadershipFury,80%,100%,3,3,,Slow,,Recovering,,0
Amnesia,,53,"The combatants' minds touch, leaving both befuddled.",Cosmic,Reach,Simple,Mental,80%,100%,2.25,2,,Normal,,Exhausted,Exhausted,3
Slime,,96,"A sticky, viscous substance is emitted, engulfing the opponent and dealing damage.",Venom,Reach,Simple,PseudopodToxic,100%,20%,1.1,2,,Normal,,,Festering,1
Phantasmal Force,,162,The user creates an illusionary copy of itself that attacks the opponent.,Shadow,Melee,Basic,Ghost,90%,10%,1.1,1,,Normal,,,,1
Blood Bond,,79,"The user sucks the target's blood, but leaves something of themselves behind.",Water,Touch,Exotic,Love,80%,100%,2.25,2,,Normal,,Lifeleech,Lifeleech,2
Muddle,,43,A haze over the battlefield makes it harder for attacks to connect.,Cosmic,Reach,Simple,GhostMental,100%,100%,1,1,,Normal,,Focused,Focused,3
Sleep Bomb,,59,A violent explosion of sleeping powder threatens to send both combatants into a doze.,Cosmic,Reach,Exotic,Bomber,75%,100%,2.25,2,,Normal,,Nodding Off,Nodding Off,3
Mudslide,,89,The user creates a massive mudslide that engulfs the opponent.,Earth,Melee,Simple,Ground,80%,100%,2.25,2,,Extremely Slow,,,Softened,1
Quicksand,,90,"The user creates a treacherous patch of quicksand, trapping and damaging the opponent.",Earth,Touch,Simple,Ground,80%,100%,2.25,2,,Very Slow,,,Stuck,1
Staff Smash,,207,The user delivers a powerful blow with its staff.,MetalWood,Melee,Simple,Staff,80%,,2.5,3,,Normal,,,,0
Stick,,221,"The user uses a stick, plant part or twig to poke or smack the opponent.",Wood,Reach,Basic,PlantStaff,95%,,1.4,1,,Normal,,,,1
Shooting Star,,190,Heals the user's health by harnessing the energy of a shooting star streaking across the night sky.,Cosmic,Special,Exotic,CelestialLightDarkness,100%,100%,0,2,2,Normal,"Photogenesis user,18,0,6",,,0
Starfall,,56,"A shower of celestial bodies descends upon the opponent, inflicting damage and granting the user heightened focus while exhausting the opponent.",Cosmic,Ranged,Simple,DarknessCelestialWeather,80%,100%,1.25,2,,Normal,Negate enemy monster's positive condition,Focused,,3
Tail Lash,,201,The user lashes out with their tail or tail like appendage.,Normal,Melee,Simple,Tail,100%,20%,1.2,1,,Normal,,,Flinching,1
Wiggle,,210,"The user shakes their body back and forth, creating a silly, attention-grabbing display that doesn't do any damage but might be entertaining to watch.",Normal,Special,Special,Weak,100%,,,1,,Fast,,,,0
Venomous Tentacle,,80,"A poisonous tentacle strikes the opponent, inflicting damage and poisoning them.",Water,Reach,Simple,Pseudopod,80%,100%,2.25,2,,Normal,,,Poisoned,1
Thunderclap,,20,"A sudden, deafening clap of thunder that stuns and damages the opponent.",Lightning,Ranged,Simple,Electricity,95%,75%,1.25,2,,Normal,,,Exhausted,1
Lick Lash,,209,"The user lashes out with its tongue, dealing damage and possibly leaving the opponent stunned.",NormalEarth,Melee,Simple,Tongue,80%,100%,1.5,3,,Normal,,,Flinching,0
Tornado,,194,"The user summons a swirling vortex of air, unleashing a devastating tornado that lifts the opponent off the ground and deals damage.",Sky,Ranged,Powerful,WeatherCalamity,80%,50%,2.9,3,,Normal,,,Slow,3
Webs Wind,,157,"The user creates a swirling vortex of sticky webs that ensnare the opponent, dealing multiple hits and slowing their movement.",Sky,Ranged,Reserved,Reserved,100%,30%,0.5,2,,Normal,Multi attack 5,,Slow,1
Whirlwind,,66,The user creates a powerful vortex of wind that sweeps the opponent away.,Sky,Ranged,Simple,Weather,100%,,1.25,1,,Very Fast,,,,1
Air Chain,,121,"The user rapidly strikes the air, creating a series of powerful gusts that hit the opponent.",Sky,Reach,Simple,Bird,60%,,1,1,,Slow,Multi attack 3,,,1
Invictus,,63,"The user enters a berserker state, attacking with relentless fury and trapping the opponent.",Heroic,Touch,Simple,BiteFistsLeadershipFury,75%,100%,1.25,2,,Slow,,Enraged,Grabbed,3
One-Two,,52,Two decisive strikes bring the target to its knees.,Heroic,Touch,Simple,Fists,100%,,3,2,,Normal,,,,2
Shadow Boxing,,51,A flurry of punches strikes the target.,Heroic,Touch,Animal,FistsDarkness,100%,,1.25,1,,Normal,,,,1
Trample,,219,"The user charges at the opponent with a powerful shoulder tackle, knocking them to the ground and then quickly moving away, leaving the target stuck in place.",Normal,Melee,Powerful,MegafaunaFury,90%,80%,2.5,3,,Fast,,,Stuck,1
Fledgling,,117,The user hurls sharp feathers at the opponent.,Sky,Ranged,Animal,Bird,75%,,1.7,1,,Normal,,,,1
Tux Attack,,92,"The user transforms into a whirlwind of data, dealing heavy damage.",FrostHeroic,Melee,Reserved,Reserved,100%,,2,1,,Extremely Fast,,,,1
Ubuntu,,95,The user emits a chaotic energy that randomly alters the opponent's type.,Normal,Special,Exotic,Shapeshifter,100%,100%,,4,,Normal,Switch Random Target,,,1
Wall of Fire,,165,The user conjures a fiery wall that both protects it and scorches the opponent.,Fire,Reach,Simple,SummonerShielded,80%,80%,1.9,3,,Very Slow,,Elemental Shield,Burn,1
Ice Shield,,172,"The user surrounds itself with a protective wall of ice, while also slowing down the opponent.",Frost,Special,Exotic,IceSoldierShielded,100%,100%,,2,,Normal,,Elemental Shield,Slow,1
Walls,,156,The user constructs sturdy walls of earth or rock to create a defensive barrier.,Earth,Touch,Simple,SummonerShielded,80%,100%,1,2,,Normal,,Hard Shell,,1
Water Bullet,,213,A mouthful of water is flung at the target with great alacrity.,Water,Ranged,Simple,SoldierWater,90%,,1.25,1,,Very Fast,,,,1
Surf,,174,A massive wave crashes down upon the opponent.,Water,Ranged,Powerful,Water,60%,,2.6,3,,Normal,Splash,,,1
Tsunami,,170,The user summons a colossal wave that crashes down upon the opponent.,Water,Reach,Powerful,WaterCalamity,75%,,2.7,3,,Extremely Slow,Areas,,,1
Flood,,10,The user summons a powerful flood that washes over the opponent.,Water,Ranged,Basic,Water,60%,,1.5,1,,Extremely Slow,Splash,,,1
Chill Mist,,77,The user releases a freezing mist that lowers the opponent's stats.,Frost,Ranged,Basic,Weather,60%,,1.5,1,,Slow,Splash,,,1
Flow,,9,The user channels a powerful water stream.,Water,Melee,Basic,Water,60%,,1.5,1,,Normal,Splash,,,1
Font,,48,The user draws energy from a mystical font to heal itself.,Water,Ranged,Simple,WaterHealing,80%,100%,1.25,2,,Normal,,Recovering,,0
Wallow,,46,"The user relaxes in a pool of mud, healing its wounds.",Water,Special,Special,Megafauna,100%,90%,,2,2,Normal,Healing user,Focused,,0
Salamander,,85,A bite brimming with heat and lashing pain.,Fire,Reach,Simple,AmphibianFlameToxic,80%,80%,1.25,2,,Normal,,,Poisoned,1
Woodsmash,,203,"The user slams into the opponent with a powerful wooden strike, dealing damage and potentially knocking them back.",HeroicWood,Melee,Powerful,Plant,90%,,2.9,2,,Normal,,,,
Evasion,,116,"The user becomes a blur of motion, making it difficult to hit with ranged attacks.",Heroic,Special,Condition imposer,SpeedBug,100%,100%,,2,,Extremely Fast,,Focused,,1
Gust,,161,The user creates a powerful wind that blows the opponent back.,Sky,Ranged,Basic,Weather,100%,,0.9,1,,Normal,,,,1
Mending,,169,The user draws energy from its surroundings to heal itself.,Metal,Special,Special,Leadership,100%,100%,,1,2,Normal,Healing user,,,1
Muck,,138,"The user covers the opponent in a sticky, poisonous substance.",Venom,Reach,Simple,Toxic,80%,,2,2,,Normal,,,,1
Pit,,142,"The user creates a pit beneath the opponent, causing them to fall and take damage.",Earth,Touch,Simple,GroundSummoner,80%,100%,2.1,3,,Very Slow,,,Harpooned,1
Saber,,102,The user strikes with a swift and powerful sword-like attack.,Metal,Melee,Simple,SharpSteel,80%,,2.2,2,,Normal,,,,1
Shapechange,,160,"The user undergoes a rapid transformation, striking the opponent with a surprising and powerful attack.",Cosmic,Melee,Simple,Shapeshifter,70%,,2.2,3,,Normal,Switch Random User,,,1
Strangulation,,93,"The user constricts the opponent's throat, cutting off their air supply.",Shadow,Melee,Powerful,Fury,80%,,2.5,1,,Normal,,,,1
Terror,,149,"The target is shaking with fear, unable to pick up or use items.",Cosmic,Special,Condition imposer,Mental,100%,100%,,2,,Normal,,,Lockdown,1
Time Crisis,,104,"The user distorts the flow of time, causing the opponent damage.",Cosmic,Ranged,Powerful,SummonerMental,80%,60%,2.5,3,,Very Fast,,,Slow,1
Undertaker,,152,"A desperate, self-sacrificing attack that deals a massive damage at the cost of the user's health.",Shadow,Melee,Exotic,GhostGround,100%,100%,1,1,,Extremely Slow,Sacrifice,,Prickly,1
Lineage,,135,The user draws power from its ancestors to unleash an attack.,Cosmic,Reach,Basic,GhostLeadership,100%,,1.5,3,,Normal,,,,1
